Category,Workout
Chest,Barbell Bench Press
Chest,Incline Bench Press
Chest,Decline Bench Press
Chest,Dumbbell Bench Press
Chest,Incline Dumbbell Press
Chest,Chest Fly (Dumbbell)
Chest,Cable Fly
Chest,Push-up
Chest,Dips (Chest)
Chest,Pec Deck Machine
Chest,Low Cable Fly
Chest,Smith Machine Bench Press
Chest,Landmine Press
Back,Deadlift
Back,Pull-up
Back,Lat Pulldown
Back,Barbell Row
Back,Seated Cable Row
Back,T-Bar Row
Back,Single-arm Dumbbell Row
Back,Face Pull
Back,Straight-arm Pulldown
Back,Rack Pull
Back,Pendlay Row
Back,Meadows Row
Back,Chest-Supported Row
Back,Pull-over (Dumbbell)
Shoulders,Overhead Press (Barbell)
Shoulders,Overhead Press (Dumbbell)
Shoulders,Arnold Press
Shoulders,Lateral Raise
Shoulders,Front Raise
Shoulders,Rear Delt Fly
Shoulders,Upright Row
Shoulders,Shrugs (Barbell)
Shoulders,Shrugs (Dumbbell)
Shoulders,Cable Lateral Raise
Shoulders,Machine Shoulder Press
Shoulders,Reverse Pec Deck (Rear Delt)
Biceps,Barbell Curl
Biceps,Dumbbell Curl
Biceps,Hammer Curl
Biceps,Preacher Curl
Biceps,Concentration Curl
Biceps,Cable Curl
Biceps,Incline Dumbbell Curl
Biceps,Spider Curl
Biceps,Reverse Curl
Biceps,Machine Curl
Biceps,21s Bicep Curl
Triceps,Close-grip Bench Press
Triceps,Triceps Pushdown (Rope)
Triceps,Triceps Pushdown (Bar)
Triceps,Overhead Triceps Extension
Triceps,Skull Crushers
Triceps,Bench Dips
Triceps,Kickbacks
Triceps,Diamond Push-up
Triceps,Triceps Dips (Parallel Bars)
Triceps,Single-arm Cable Extension
Legs,Back Squat
Legs,Front Squat
Legs,Leg Press
Legs,Romanian Deadlift
Legs,Walking Lunges
Legs,Bulgarian Split Squat
Legs,Leg Extension
Legs,Leg Curl (Lying)
Legs,Leg Curl (Seated)
Legs,Hip Thrust
Legs,Standing Calf Raise
Legs,Seated Calf Raise
Legs,Goblet Squat
Legs,Hack Squat
Legs,Sumo Deadlift
Legs,Step-ups
Legs,Good Mornings
Legs,Glute Kickback
Abs,Crunch
Abs,Cable Crunch
Abs,Hanging Leg Raise
Abs,Plank
Abs,Russian Twist
Abs,Ab Wheel Rollout
Abs,Mountain Climbers
Abs,Reverse Crunch
Abs,Bicycle Crunch
Abs,V-up
Abs,Dragon Flag
Abs,Toe Touches
Abs,Side Plank
Abs,Flutter Kicks
Cardio,Treadmill Running
Cardio,Cycling (Stationary Bike)
Cardio,Jump Rope
Cardio,Rowing Machine
Cardio,Elliptical Trainer
Cardio,Stair Climber
Cardio,HIIT Sprint Intervals
Cardio,Swimming
Cardio,Battle Ropes
Cardio,Box Jumps
Full Body,Burpees
Full Body,Kettlebell Swing
Full Body,Clean and Press
Full Body,Thruster
Full Body,Turkish Get-up
Full Body,Sandbag Carry
Full Body,Farmer's Walk
Full Body,Man Maker
Forearms,Wrist Curl
Forearms,Reverse Wrist Curl
Forearms,Farmer's Carry (Grip Focus)
Forearms,Plate Pinch
Yoga,Sakrasanam
Yoga,Child pose
Chest,Machine Fly
Chest,Machine Press
Full Body,Rest
Abs,Bird Dog
Abs,The McGill Curl-Up
