English,Tamil
Abacus,எண்ணிப்பலகை
Abandon,கைவிடு
Abandoned,கைவிடப்பட்ட
Abandonment,கைவிடுதல்
Abate,குறையச்செய்
Abbey,மடாலயம்
Abbot,மடாதிபதி
Abbreviate,சுருக்கு
Abbreviation,சுருக்கம்
Abdomen,வயிறு
Abdominal,வயிற்று சார்ந்த
Abduct,கடத்திச் செல்
Abduction,கடத்தல்
Aberration,விலகல்
Abide,பின்பற்று
Ability,திறமை
Abject,மிகவும் மோசமான
Able,திறன் உடைய
Abnormal,இயல்பற்ற
Abnormality,அசாதாரணம்
Aboard,கப்பலில்
Abode,வசிப்பிடம்
Abolish,ஒழி
Abolition,ஒழிப்பு
Abominable,அருவருப்பான
Aboriginal,பழங்குடியினர்
Abort,நிறுத்து
Abortion,கருக்கலைப்பு
Abound,நிறைந்து இரு
About,பற்றி
Above,மேலே
Abrasive,கரடுமுரடான
Abroad,வெளிநாட்டில்
Abrupt,திடீர்
Absence,இல்லாமை
Absent,இல்லாத
Absolute,முழுமையான
Absolutely,முற்றிலும்
Absolve,விடுவி
Absorb,உறிஞ்சு
Absorption,உறிஞ்சுதல்
Abstract,கருத்தியல்
Abstraction,சுருக்கம்
Absurd,அபத்தமான
Abundance,ஏராளம்
Abundant,அதிகமான
Abuse,துஷ்பிரயோகம்
Abusive,இழிவான
Academia,கல்வித்துறை
Academic,கல்வி சார்ந்த
Academy,கல்வி நிறுவனம்
Accelerate,வேகப்படுத்து
Acceleration,முடுக்கம்
Accent,உச்சரிப்பு
Accept,ஏற்று
Acceptable,ஏற்றுக்கொள்ளத்தக்க
Acceptance,ஏற்றுக்கொள்ளுதல்
Access,அணுகல்
Accessible,அணுகக்கூடிய
Accessory,துணைப்பொருள்
Accident,விபத்து
Accidental,தற்செயலான
Acclaim,பாராட்டு
Accommodate,இடமளி
Accommodation,தங்குமிடம்
Accompany,உடன் செல்
Accomplice,குற்றத்துணை
Accomplish,நிறைவேற்று
Accomplishment,சாதனை
Accord,உடன்பாடு
According,படி
Account,கணக்கு
Accountability,பொறுப்புணர்வு
Accountable,பொறுப்புள்ள
Accountant,கணக்காளர்
Accounting,கணக்கியல்
Accumulate,சேகரி
Accumulation,சேகரிப்பு
Accuracy,துல்லியம்
Accurate,துல்லியமான
Accusation,குற்றச்சாட்டு
Accuse,குற்றம் சாட்டு
Accused,குற்றம் சாட்டப்பட்டவர்
Ache,வலி
Achieve,சாதி
Achievement,சாதனை
Acid,அமிலம்
Acidity,அமிலத்தன்மை
Acknowledge,ஒப்புக்கொள்
Acknowledgement,ஒப்புதல்
Acoustic,ஒலியியல் சார்ந்த
Acquire,பெறு
Acquisition,கையகப்படுத்தல்
Acquit,விடுதலை செய்
Acquaintance,அறிமுகம்
Across,குறுக்கே
Act,செய்
Action,நடவடிக்கை
Activate,செயல்படுத்து
Activation,செயல்படுத்தல்
Active,செயலில் உள்ள
Activity,செயல்பாடு
Actor,நடிகர்
Actress,நடிகை
Actual,உண்மையான
Actually,உண்மையில்
Acute,கடுமையான
Adapt,ஏற்படு
Adaptation,தழுவல்
Adapter,இணைப்பான்
Add,சேர்
Addition,கூட்டல்
Additional,கூடுதல்
Address,முகவரி
Adept,திறமையான
Adequate,போதுமான
Adhere,பின்பற்று
Adhesive,ஒட்டும் பொருள்
Adjacent,அருகிலுள்ள
Adjective,பெயரடை
Adjust,சரிசெய்
Adjustment,சரிசெய்தல்
Admin,நிர்வாகி
Administer,நிர்வகி
Administration,நிர்வாகம்
Administrator,நிர்வாகி
Admirable,பாராட்டத்தக்க
Admiral,கடற்படைத் தளபதி
Admiration,பாராட்டு
Admire,பாராட்டு
Admission,அனுமதி
Admit,ஒப்புக்கொள்
Adolescent,இளம் வயதினர்
Adopt,தத்தெடு
Adoption,தத்தெடுத்தல்
Adorable,அழகான
Adore,மிக விரும்பு
Adult,வயது வந்தவர்
Advance,முன்னேறு
Advanced,மேம்பட்ட
Advancement,முன்னேற்றம்
Advantage,நன்மை
Adventure,சாகசம்
Adverb,வினையடை
Adversary,எதிரி
Adverse,பாதகமான
Advertise,விளம்பரம் செய்
Advertisement,விளம்பரம்
Advertiser,விளம்பரதாரர்
Advice,அறிவுரை
Advisable,பரிந்துரைக்கத்தக்க
Advise,ஆலோசனை வழங்கு
Advisor,ஆலோசகர்
Advocate,ஆதரிப்பவர்
Aerial,வான்வழி
Aerobic,உடற்பயிற்சி சார்ந்த
Aeroplane,விமானம்
Aesthetic,அழகியல்
Affair,விவகாரம்
Affect,பாதி
Affection,அன்பு
Affiliate,இணை
Affiliation,இணைப்பு
Affinity,நெருக்கம்
Affirm,உறுதிப்படுத்து
Affirmation,உறுதிப்படுத்தல்
Afford,வாங்கும் வசதி உடையிரு
Afraid,பயந்த
After,பிறகு
Aftermath,பின்விளைவு
Afternoon,பிற்பகல்
Afterward,பின்னர்
Again,மீண்டும்
Against,எதிராக
Age,வயது
Agency,முகமை
Agenda,நிகழ்ச்சி நிரல்
Agent,முகவர்
Aggression,ஆக்கிரமிப்பு
Aggressive,ஆக்கிரமிப்பான
Agile,சுறுசுறுப்பான
Agility,சுறுசுறுப்பு
Ago,முன்பு
Agony,வேதனை
Agree,ஒப்புக்கொள்
Agreement,ஒப்பந்தம்
Agriculture,விவசாயம்
Aid,உதவி
Aide,உதவியாளர்
Aim,நோக்கம்
Air,காற்று
Aircraft,விமானம்
Airline,விமான நிறுவனம்
Airport,விமான நிலையம்
Alarm,எச்சரிக்கை
Album,ஆல்பம்
Alcohol,மது
Alert,எச்சரிக்கை
Algebra,இயற்கணிதம்
Alias,மாற்றுப்பெயர்
Alien,வேற்றுகிரகவாசி
Align,சீரமை
Alignment,சீரமைப்பு
Alike,ஒத்த
Alive,உயிருடன்
All,அனைத்தும்
Allegation,குற்றச்சாட்டு
Allege,குற்றம் சாட்டு
Alley,சந்து
Alliance,கூட்டணி
Allocate,ஒதுக்கு
Allocation,ஒதுக்கீடு
Allow,அனுமதி
Allowance,அனுமதி
Ally,நண்பு நாடு
Almost,கிட்டத்தட்ட
Alone,தனியாக
Along,உடன்
Already,ஏற்கனவே
Also,மேலும்
Alter,மாற்று
Alternative,மாற்று வழி
Although,இருந்தாலும்
Altitude,உயரம்
Altogether,மொத்தமாக
Aluminium,அலுமினியம்
Always,எப்போதும்
Amateur,தொடக்கநிலை
Amazing,அற்புதமான
Ambassador,தூதர்
Ambition,லட்சியம்
Ambitious,லட்சியமுள்ள
Ambulance,ஆம்புலன்ஸ்
Amend,திருத்து
Amendment,திருத்தம்
Amenity,வசதி
American,அமெரிக்கர்
Amid,நடுவில்
Amount,அளவு
