Course_Module,Level_Required,XP_Points_Earned,Course
"L01: NumPy Array Memory Architecture & Vectorization Mechanics",Level 1,30,EDA
"L02: Pandas DataFrame Indexing Alignments & Memory Optimization",Level 1,35,EDA
"L03: Vectorized Broadcasting Operations & Custom Element-Wise Ufuncs",Level 1,40,EDA
"L04: Resampling & Moving-Window Algebra for Non-Stationary Time-Series",Level 2,45,EDA
"L05: ACID Transactional Data Aggregation & Analytical Window Functions",Level 2,45,EDA
"L06: Spatial Clustering & Geometric Data Analysis via GeoPandas",Level 2,50,EDA
"L07: NetworkX Graph Topology Construction & Node Centrality Layouts",Level 2,55,EDA
"L08: Biological Sequence String Alignment & Matrix Representations",Level 2,50,EDA
"L09: Deduplication Algorithms & High-Performance Row-Wise Locality Cleansing",Level 3,50,EDA
"L10: Relational Data Integration, Concurrency Handling & Structural Merge Logic",Level 3,55,EDA
"L11: Numerosity Data Reduction & Stratified Sampling Implementations",Level 3,60,EDA
"L12: Min-Max, Z-Score Scaling & Box-Cox Mathematical Power Transformations",Level 3,65,EDA
"L13: MCAR, MAR, and MNAR Missing Data Structural Mechanism Diagnoses",Level 4,60,EDA
"L14: Non-Parametric KNN & Distance-Weighted Missing Value Estimations",Level 4,65,EDA
"L15: Bayesian Estimation Frameworks for Incomplete Covariance Matrices",Level 4,80,EDA
"L16: Multivariate Imputation by Chained Equations (MICE) via IterativeImputer",Level 4,90,EDA
"L17: Describing Shapes: Analytical Covariance, Skewness & Kurtosis Derivations",Level 5,55,EDA
"L18: Parametric Hypothesis Tests: Z-test, Two-Sample T-test & ANOVA Frameworks",Level 5,65,EDA
"L19: N-Dimensional Covariance Matrices & Mahalanobis Distance Metrics",Level 5,75,EDA
"L20: Empirical Cumulative Distribution Functions (ECDF) Performance Mapping",Level 6,45,EDA
"L21: Optimization of Histogram Bin Widths via Scott’s & Freedman-Diaconis Rules",Level 6,50,EDA
"L22: Dispersion Geometry Analysis via Violin Plots & Interquartile Ranges",Level 6,55,EDA
"L23: Textual Stem-and-Leaf Density Distribution Plot Automations",Level 6,45,EDA
"L24: Multidimensional Scaling (MDS) Coordinate Projection Engine",Level 7,70,EDA
"L25: Andrews Plots Evaluation (High-Dimensional Fourier Transformations)",Level 7,85,EDA
"L26: Hierarchical Clustering Visualizations via Heatmap Dendrogram Layouts",Level 7,70,EDA
"L27: Spatial Voronoi Tessellation & Delaunay Triangulation Formulations",Level 7,90,EDA
"L28: Parametric Extreme Value Distribution fitting for Univariate Streams",Level 8,75,EDA
"L29: Modified Z-Score & Absolute Median Deviation (MAD) Thresholding Engine",Level 8,75,EDA
"L30: Automated IQR Inner/Outer Fence Outlier Masking Pipelines",Level 8,70,EDA
"L31: Generalized Extreme Studentized Deviate (ESD) Recursive Outlier Testing",Level 8,85,EDA
"L32: Vector Angle-Based Outlier Detection (ABOD) Math Models",Level 9,95,EDA
"L33: Non-Parametric Subspace Partitioning via Isolation Forest Ensembles",Level 9,90,EDA
"L34: Local Outlier Factor (LOF) Density-Based Neighborhood Calculations",Level 9,85,EDA
"L35: PyOD High-Dimensional Proximity Subspace Pipeline Integration",Level 9,100,EDA
"L36: Information Gain & Mutual Information Rank Filtering Systems",Level 10,80,EDA
"L37: Recursive Feature Elimination (RFE) Greedy Wrapper Architectures",Level 10,90,EDA
"L38: L1 Regularization (Lasso) Sparsity Coefficients for Feature Selection",Level 10,85,EDA
"L39: Cost-Function Optimization for Embedded Tree-Based Feature Rankers",Level 10,80,EDA
"L40: K-Means Distortion Mechanics, WCSS, and Elbow Convergence Math",Level 11,90,EDA
"L41: Silhouette Coefficient Geometry for Optimal Partitioning Evaluation",Level 11,95,EDA
"L42: Combinatorial Feature Space Searches via Genetic Selection Algorithms",Level 11,120,EDA
"L43: Singular Value Decomposition (SVD) Matrix Factorization Logic",Level 12,110,EDA
"L44: Principal Component Analysis (PCA) Covariance Eigen-Asset Derivations",Level 12,130,EDA
"L45: Latent Variable Parameter Estimations via Structural Factor Analysis",Level 12,110,EDA
"L46: Canonical Correlation Analysis (CCA) Cross-Covariance Maximization",Level 12,125,EDA
"L47: Target Leakage Diagnostic Engines via Temporal Splits & Cross-Validation Counterfactuals",Level 4,75,EDA
"L48: Variance Inflation Factor (VIF) Calculations & Multicollinearity Matrix Determinants",Level 5,70,EDA
"L49: Weight of Evidence (WoE) & Information Value (IV) Mathematical Banning Engines",Level 5,80,EDA
"L50: High-Cardinality Categorical Shannon Entropy Diagnostics & Rare Label Consolidation",Level 3,55,EDA
"L51: Non-Linear Coordinate Manifold Projections via t-SNE Kullback-Leibler Minimization",Level 7,95,EDA
"L52: Uniform Manifold Approximation and Projection (UMAP) Fuzzy Simplicial Set Layouts",Level 8,110,EDA
"L53: Population Stability Index (PSI) & Characteristic Stability Matrix Drift Computations",Level 9,105,EDA
"L54: Two-Sample Kolmogorov-Smirnov (KS) Non-Parametric Testing for Distribution Shifts",Level 9,90,EDA
"L55: Maximal Information Coefficient (MIC) for Universal Non-Linear Association Grid Searches",Level 10,100,EDA
"L56: Vector Embedding Space EDA via Inter-Cluster Cosine Similarity Matrix Heatmaps",Level 11,115,EDA
"CAT: Mid-Term Comprehensive Analytical Assessment Pipeline Deployment",Level 6,500,EDA
"DA: High-Dimensional Industrial Feature Engineering Production Pipeline",Level 12,800,EDA
"L01: Axiomatic Probability Theory & Set-Theoretic Sample Space Formulations",Level 1,30,Probability_Stats
"L02: Discrete, Continuous, and Mixed Random Variable Mathematical Classifications",Level 1,35,Probability_Stats
"L03: Empirical Limiting Probability Simulation Engines via Vectorized NumPy Loops",Level 1,40,Probability_Stats
"L04: Joint, Total Probability Axioms & Vectorized Addition/Multiplication Laws",Level 2,45,Probability_Stats
"L05: Stochastic Simulations of Dependent & Independent Sample Space Combinations",Level 2,45,Probability_Stats
"L06: High-Performance Data Stream Ingestion Pipelines for Stochastic Inferences",Level 2,50,Probability_Stats
"L07: Conditional Probability Bounds & Pairwise vs Mutual Independence Proofs",Level 3,50,Probability_Stats
"L08: Bayes’ Theorem Mathematical Derivations & Direct Odds-Ratio Updating",Level 3,60,Probability_Stats
"L09: Production Naive Bayes Classifier Engine from First Principles in Python",Level 3,65,Probability_Stats
"L10: Probability Mass Functions & Probability Density Functions Integration Calculus",Level 4,60,Probability_Stats
"L11: Unidimensional Cumulative Distribution Function Inversion Frameworks",Level 4,65,Probability_Stats
"L12: Bivariate Two-Dimensional Random Variable Transformation Mechanics",Level 4,75,Probability_Stats
"L13: Joint Probability Distributions & Marginal Function Derivations via Continuous Integration",Level 5,55,Probability_Stats
"L14: Conditional Distribution Density Formulations for Continuous Bivariate Surfaces",Level 5,65,Probability_Stats
"L15: Statistical Independence Proofs for Product-Moment Probability Fields",Level 5,70,Probability_Stats
"L16: First-Moment Derivations: Mathematical Expectation Operator & Linear Properties",Level 6,45,Probability_Stats
"L17: Expected Value Computations for Complex Piecewise Continuous Probability Functions",Level 6,50,Probability_Stats
"L18: Conditional Expectation Operators & Law of Total Expectation Proofs",Level 6,60,Probability_Stats
"L19: Covariance Matrices & Variance-Covariance Linear Transformation Frameworks",Level 6,65,Probability_Stats
"L20: Bernoulli & Binomial Distribution Probability Mass Derivations & SciPy Implementations",Level 7,70,Probability_Stats
"L21: Poisson Process Modeling & Limiting Law of Rare Events Derivations",Level 7,75,Probability_Stats
"L22: Geometric & Negative Binomial Waiting-Time Probability Formulations",Level 8,75,Probability_Stats
"L23: Hypergeometric Sampling Without Replacement Probability Math Profiles",Level 8,80,Probability_Stats
"L24: Maximum Likelihood Estimation for Fitting Empirical Discrete Distributions",Level 8,90,Probability_Stats
"L25: Continuous Gaussian Normal Distribution Geometry & Analytical Integration Derivations",Level 9,85,Probability_Stats
"L26: Standard Normal Variate Transformation Engines & Error Function Interpolation",Level 9,90,Probability_Stats
"L27: Exponential Distribution Memoryless Property Proofs & Reliability Engineering",Level 9,95,Probability_Stats
"L28: Gamma Distribution Factorial Extensions & Continuous Waiting-Time Modeling",Level 10,100,Probability_Stats
"L29: Weibull Distribution Hazard Function Profiles & Failure Rate Vectorization",Level 10,105,Probability_Stats
"L30: De Moivre-Laplace Theorem: Normal Approximation of Binomial Systems with Continuity Corrections",Level 10,110,Probability_Stats
"L31: Central Limit Theorem Asymptotics & Convergence in Distribution Simulations",Level 11,115,Probability_Stats
"L32: Chi-Square Distribution Derivations from Sums of Squared Standard Normals",Level 11,120,Probability_Stats
"L33: Student’s T-Distribution Heavy-Tailed Sampling Models & Degrees of Freedom Math",Level 11,120,Probability_Stats
"L34: Snedecor’s F-Distribution Variance Ratio Probability Density Formulations",Level 11,125,Probability_Stats
"L35: Standard & Generalized Logistic Distribution CDF/PDF Geometric Proportions",Level 12,130,Probability_Stats
"L36: Frequentist Hypothesis Testing Frameworks: Null/Alternative Setups & Type I/II Error Tradeoffs",Level 12,135,Probability_Stats
"L37: Parametric Z-Tests & T-Tests for Single and Two-Sample Population Mean Discrepancies",Level 12,140,Probability_Stats
"L38: Chi-Square Goodness-of-Fit & Contingency Table Independence Testing Engines",Level 12,145,Probability_Stats
"L39: Likelihood Ratio Tests & Neyman-Pearson Lemma Optimizations for Target Boundaries",Level 12,150,Probability_Stats
"CAT: Mid-Term Probability Foundations & Bivariate Distribution Math Simulation",Level 6,500,Probability_Stats
"DA: End-to-End Frequentist Inference & Parametric Distribution Fitting Production Engine",Level 12,800,Probability_Stats
"L01: NumPy Matrix Memory Architecture, C-Contiguous vs Fortran-Contiguous Layouts",Level 1,30,Linear_Algebra
"L02: Matrix Addition, Scalar Multiplication, and Hadamard Product Vectorization Optimization",Level 1,35,Linear_Algebra
"L03: Vectorized Dot Products and Block Matrix Multiplication via BLAS/LAPACK Backends",Level 1,40,Linear_Algebra
"L04: Laplace Expansion Determinant Computations and Matrix Inversion Singularity Boundaries",Level 1,45,Linear_Algebra
"L05: Matrix Rank Determination using Singular Values and Epsilon Numerical Thresholding",Level 1,45,Linear_Algebra
"L06: Characteristic Equation Polynomial Solvers for Analytical Eigenvalue Evaluation",Level 2,50,Linear_Algebra
"L07: Power Iteration and Rayleigh Quotient Algorithms for Dominant Eigenpair Extraction",Level 2,55,Linear_Algebra
"L08: Spectral Expansion and Eigen-Decomposition Arrays for Symmetric Matrices",Level 2,50,Linear_Algebra
"L09: Orthogonal Transformations, Reflection Matrices, and Subspace Rotations",Level 2,55,Linear_Algebra
"L10: Idempotent Projection Matrix Verification and Compressed Sparse Row (CSR) Optimizations",Level 2,60,Linear_Algebra
"L11: Augmented Matrix Formulations for Systems of Non-Homogeneous Linear Equations",Level 3,50,Linear_Algebra
"L12: Forward Elimination Algorithms for Row Echelon Form (REF) Conversions",Level 3,55,Linear_Algebra
"L13: Gauss-Jordan Back Substitution Transformations for Reduced Row Echelon Form (RREF)",Level 3,60,Linear_Algebra
"L14: Complete Gaussian Elimination Solver Development with Partial Pivoting Mechanics",Level 3,65,Linear_Algebra
"L15: Cramer’s Rule Determinant Ratio Solvers for Small-Scale Non-Singular Frameworks",Level 4,60,Linear_Algebra
"L16: Vector Space Condition Number Calculations and Ill-Conditioned System Diagnoses",Level 4,70,Linear_Algebra
"L17: LU Decomposition via Doolittle’s Algorithm and Triangular System Solvers",Level 5,65,Linear_Algebra
"L18: Cholesky Factorization for Symmetric Positive-Definite Machine Learning Kernel Matrices",Level 5,75,Linear_Algebra
"L19: QR Decomposition Pipelines via Householder Reflections and Givens Rotations",Level 5,80,Linear_Algebra
"L20: Singular Value Decomposition (SVD) Factorization and Low-Rank Matrix Approximations",Level 5,90,Linear_Algebra
"L21: Spectral Decomposition and Orthogonal Diagonalization of Symmetric Operators",Level 5,85,Linear_Algebra
"L22: Axiomatic Vector Space Vector Fields and Linear Closure Property Audits",Level 6,50,Linear_Algebra
"L23: Subspace Spanning Sets and Nullspace Basis Dimension Counting Operations",Level 6,55,Linear_Algebra
"L24: Linear Dependence Analysis via Wronskian Matrices and Row Pivot Counting",Level 6,60,Linear_Algebra
"L25: Minimal Generating Sets, Coordinate Vector Mappings, and Vector Space Dimensions",Level 6,65,Linear_Algebra
"L26: Linear Transformation Kernel (Null Space) and Range (Column Space) Structural Builders",Level 7,70,Linear_Algebra
"L27: Explicit Matrix Representation Mapping of High-Dimensional Geometric Transforms",Level 7,75,Linear_Algebra
"L28: Rank-Nullity Theorem Dimensional Constancy Verifications for Linear Mappings",Level 8,80,Linear_Algebra
"L29: Transition Matrix Generation and Change-of-Basis Vector Conversions",Level 8,85,Linear_Algebra
"L30: Matrix Similarity Transformations and Invariant Field Coordinate Inferences",Level 8,90,Linear_Algebra
"L31: Invertible Linear Transformation Operators and Vector Space Isomorphisms",Level 8,85,Linear_Algebra
"L32: Custom Inner Product Space Definitions and Cauchy-Schwarz Geometric Bound Validations",Level 9,90,Linear_Algebra
"L33: Induced Vector Norm Calculations and Multi-Dimensional Orthogonality Confirmations",Level 9,95,Linear_Algebra
"L34: Gram-Schmidt Orthogonalization Vector Pipelines with Modified Numerical Stability",Level 9,105,Linear_Algebra
"L35: Orthogonal Projection Error Minimization for Subspace Optimization Coordinates",Level 9,100,Linear_Algebra
"L36: Moore-Penrose Pseudo-Inverse Construction using Singular Value Decompositions",Level 10,110,Linear_Algebra
"L37: Generalized Inverse (G-Inverse) Formulations for Underdetermined Matrix Approximations",Level 10,115,Linear_Algebra
"L38: Canonical Correlation Analysis (CCA) Shared Subspace Projections and Maxima Search",Level 10,120,Linear_Algebra
"L39: Quadratic Form Simplification and Symmetric Matrix Congruence Transform Transformations",Level 11,110,Linear_Algebra
"L40: Sylvester's Criterion Evaluations for Definiteness Shapes of Multivariate Surfaces",Level 11,115,Linear_Algebra
"L41: Fisher's Linear Discriminant Analysis (LDA) Between-Class Scattering Vector Maximizers",Level 11,130,Linear_Algebra
"L42: Rayleigh-Ritz Ratio Minimization for Discriminant Subspace Machine Learning Projections",Level 11,125,Linear_Algebra
"L43: Empirical Covariance Matrix Inversion and Mahalanobis Distance Meshgrid Generations",Level 12,120,Linear_Algebra
"L44: Ordinary Least Squares (OLS) Linear Regression Matrix Normal Equation Solvers",Level 12,135,Linear_Algebra
"L45: Tikhonov Regularization (Ridge Regression) L2 Matrix Penalization Pipelines",Level 12,140,Linear_Algebra
"L46: Projection Matrix (Hat Matrix) Leverage Vector Inferences and Outlier Diagnostic Checks",Level 12,130,Linear_Algebra
"L47: Multivariate Linear Model Redundancies and Matrix Rank Deficiency Diagnostics",Level 12,135,Linear_Algebra
"L48: High-Dimensional Multivariate Coordinate Field Rotations and Principal Component Alignments",Level 12,145,Linear_Algebra
"CAT: Mid-Term Linear Algebraic Foundation & Geometric Vector Transformation Assessment",Level 6,500,Linear_Algebra
"DA: High-Dimensional Singular Value Decomposition & Latent Matrix Projection Production Pipeline",Level 12,800,Linear_Algebra
"L01: Mathematical Proofs of Asymptotic Notations & Big-O Upper Bounds",Level 1,30,DSA_LeetCode
"L02: Analytical Time Complexity Derivations for Deeply Nested Iterative Loops",Level 1,35,DSA_LeetCode
"L03: Recurrence Relation Formulations for Recursive Functions via Divide-and-Conquer Trees",Level 1,40,DSA_LeetCode
"L04: Master's Theorem Case Classifications & Asymptotic Tight-Bound Solvers",Level 1,45,DSA_LeetCode
"L05: Array Memory Layouts & Vectorized Sliding Window Problems (LeetCode Slid-Window Subarrays)",Level 1,45,DSA_LeetCode
"L06: Two-Pointer Subspace Memory Traversal Paradigms (LeetCode Fast-Slow Pointer Mechanics)",Level 1,50,DSA_LeetCode
"L07: Fixed-Size Array Stack Storage Underflows & Functional Array Implementations",Level 2,45,DSA_LeetCode
"L08: Dynamic Memory Allocation for Singly Linked List Stack Nodes",Level 2,50,DSA_LeetCode
"L09: Infix-to-Postfix Arithmetic Expression Parsers via Monotonic Stack Operators",Level 2,55,DSA_LeetCode
"L10: Mathematical Optimization of Monotonic Stacks (LeetCode Next Greater Element)",Level 2,60,DSA_LeetCode
"L11: First-In-First-Out (FIFO) Array Circular Queue Ring-Buffer Implementations",Level 3,50,DSA_LeetCode
"L12: Pointer-Based Queue Structures using Dynamic Singly Linked Memory Blocks",Level 3,55,DSA_LeetCode
"L13: Double-Ended Queue (Deque) Implementations & Core Window Extrema Extractors",Level 3,60,DSA_LeetCode
"L14: Monotonic Queue Design and Verification (LeetCode Sliding Window Maximum)",Level 3,65,DSA_LeetCode
"L15: Singly Linked List Structural Inversions & Node-Pointer Swap Automations",Level 4,55,DSA_LeetCode
"L16: Doubly Linked List Two-Way Traversals & Complex Node Extraction Frameworks",Level 4,60,DSA_LeetCode
"L17: Memory-Efficient Circular Linked List Implementations & Ring Node Management",Level 4,60,DSA_LeetCode
"L18: Least Recently Used (LRU) Cache Interlocking Engines (LeetCode Map + Doubly Linked List)",Level 4,75,DSA_LeetCode
"L19: Shell Sort Interval Gaps & Diminishing Increment Insertion Sort Variations",Level 5,55,DSA_LeetCode
"L20: Quick Sort Partitioning: Hoare vs Lomuto Pivot Selection Mathematical Mechanics",Level 5,60,DSA_LeetCode
"L21: Randomized Quick Sort Expected Time Derivations & Worst-Case Defenses",Level 5,65,DSA_LeetCode
"L22: Binary Heap Invariant Properties & Vectorized Sift-Up/Sift-Down Array Alignments",Level 5,70,DSA_LeetCode
"L23: In-Place Heap Sort Extractors & Priority Queue Ingestion Pipelines",Level 5,75,DSA_LeetCode
"L24: Merge Sort Divide-and-Conquer Inversions & Two-Way Array Merge Implementations",Level 5,70,DSA_LeetCode
"L25: Non-Comparison Radix Sort Matrix Buckets & Bucket Sort Digit Distributers",Level 5,65,DSA_LeetCode
"L26: Binary Search Space Reductions on Monotonically Monitored Target Arrays",Level 6,50,DSA_LeetCode
"L27: Advanced Binary Search on Matrix Boundaries & Implicit Function Solution Spaces",Level 6,60,DSA_LeetCode
"L28: Hash Map Collision Architectures: Open Addressing vs Chaining via Linked Lists",Level 6,55,DSA_LeetCode
"L29: Mathematical Universal Hashing Principles & Custom String Compression Computations",Level 6,65,DSA_LeetCode
"L30: Binary Tree Topological Array Map Models & Hierarchical Pointer Topologies",Level 7,65,DSA_LeetCode
"L31: Recursive and Iterative Stack-Based Pre-Order, In-Order, and Post-Order Traversals",Level 7,70,DSA_LeetCode
"L32: Queue-Based Breadth-First Search (BFS) Tree Level-Order Graph Extraction Engines",Level 7,70,DSA_LeetCode
"L33: Unique Binary Tree Structural Reconstruction from Pre-Order & In-Order Telemetry",Level 7,80,DSA_LeetCode
"L34: Binary Search Tree (BST) Target Insertion, Range Queries, and Predecessor Lookups",Level 7,75,DSA_LeetCode
"L35: Binary Search Tree Structural Deletions via Hibbard Node Swapping Algorithms",Level 7,85,DSA_LeetCode
"L36: Greedy Prefix-Free Prefix Encodings via Optimal Huffman Tree Array Building",Level 7,90,DSA_LeetCode
"L37: Self-Balancing AVL Trees: Balanced Factor Calculation Matrices & Node Rotations",Level 8,85,DSA_LeetCode
"L38: Double Rotations (LR/RL) inside AVL Spaces for Skewed Coordinate Inversions",Level 8,95,DSA_LeetCode
"L39: Disk-I/O Optimized Multi-Way Search B-Tree Ingestion Node Split Management",Level 8,110,DSA_LeetCode
"L40: Disjoint Set Union (DSU) Structures with Path Compression & Rank Optimizations",Level 8,90,DSA_LeetCode
